folds,eta,max_depth,colsample_bytree,subsample,lambda,bestLoss,bestRound
8,0.01,5,0.8,0.8,0,0.430484,1000
10,0.01,5,0.8,0.8,0,0.430786,1000
8,0.012,5,0.8,0.8,0,0.432591,833
10,0.012,5,0.8,0.8,0,0.430269,831
8,0.014,5,0.8,0.8,0,0.431255,706
10,0.014,5,0.8,0.8,0,0.433136,714
8,0.016,5,0.8,0.8,0,0.433134,625
10,0.016,5,0.8,0.8,0,0.430427,625
8,0.018,5,0.8,0.8,0,0.437817,554
10,0.018,5,0.8,0.8,0,0.431959,556
8,0.02,5,0.8,0.8,0,0.430678,494
10,0.02,5,0.8,0.8,0,0.429943,500
8,0.022,5,0.8,0.8,0,0.434762,454
10,0.022,5,0.8,0.8,0,0.431726,455
8,0.024,5,0.8,0.8,0,0.433269,416
10,0.024,5,0.8,0.8,0,0.434033,417
8,0.026,5,0.8,0.8,0,0.436461,385
10,0.026,5,0.8,0.8,0,0.432539,385
8,0.028,5,0.8,0.8,0,0.432437,357
10,0.028,5,0.8,0.8,0,0.435648,357
8,0.03,5,0.8,0.8,0,0.437031,333
10,0.03,5,0.8,0.8,0,0.436435,331
8,0.01,6,0.8,0.8,0,0.42949,999
10,0.01,6,0.8,0.8,0,0.42644,1000
8,0.012,6,0.8,0.8,0,0.430011,785
10,0.012,6,0.8,0.8,0,0.427438,781
8,0.014,6,0.8,0.8,0,0.431902,652
10,0.014,6,0.8,0.8,0,0.425191,667
8,0.016,6,0.8,0.8,0,0.432645,587
10,0.016,6,0.8,0.8,0,0.425983,622
8,0.018,6,0.8,0.8,0,0.427302,488
10,0.018,6,0.8,0.8,0,0.426517,553
8,0.02,6,0.8,0.8,0,0.433092,450
10,0.02,6,0.8,0.8,0,0.430552,480
8,0.022,6,0.8,0.8,0,0.435137,405
10,0.022,6,0.8,0.8,0,0.425241,443
8,0.024,6,0.8,0.8,0,0.433608,372
10,0.024,6,0.8,0.8,0,0.432806,394
8,0.026,6,0.8,0.8,0,0.424964,370
10,0.026,6,0.8,0.8,0,0.422901,382
8,0.028,6,0.8,0.8,0,0.433146,340
10,0.028,6,0.8,0.8,0,0.425276,357
8,0.03,6,0.8,0.8,0,0.433507,297
10,0.03,6,0.8,0.8,0,0.427706,325
8,0.01,7,0.8,0.8,0,0.427969,727
10,0.01,7,0.8,0.8,0,0.42574,764
8,0.012,7,0.8,0.8,0,0.424752,675
10,0.012,7,0.8,0.8,0,0.425329,682
